epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3125,2.49468,5.11467,1.94088,0.00196,0.4321,0.01072,0.0041,2.41093,4.50284,1.89768,6e-05,6e-05,6e-05
2,16.0526,2.10291,4.6326,1.6279,0.0017,0.45525,0.01493,0.00465,2.25972,4.35342,1.71221,0.000127426,0.000127426,0.000127426
3,20.3412,1.95209,4.09509,1.47654,0.00159,0.42593,0.01541,0.00475,2,4.221,1.64594,0.00019208,0.00019208,0.00019208
4,24.453,1.78566,3.43382,1.39119,0.00235,0.45679,0.06058,0.02611,1.78586,4.02236,1.45256,0.000253962,0.000253962,0.000253962
5,29.3756,1.70023,3.08561,1.40891,0.00459,0.61574,0.08628,0.04156,1.69603,3.76473,1.44151,0.000313072,0.000313072,0.000313072
6,34.1113,1.67568,2.70943,1.30371,0.00707,0.70988,0.13588,0.06404,1.62745,3.59145,1.42826,0.00036941,0.00036941,0.00036941
7,37.8808,1.62436,2.42964,1.29143,0.00983,0.77778,0.24359,0.14891,1.51638,3.4124,1.34307,0.000422976,0.000422976,0.000422976
8,41.5384,1.56928,2.32257,1.2389,0.01019,0.83333,0.24368,0.13336,1.50397,3.33104,1.30587,0.00047377,0.00047377,0.00047377
9,45.3122,1.50268,2.16953,1.23206,0.01095,0.89506,0.36832,0.21161,1.47694,3.26502,1.3491,0.000521792,0.000521792,0.000521792
10,48.9011,1.49184,2.09481,1.20811,0.00975,0.88272,0.29578,0.17554,1.46482,3.15341,1.35417,0.000567042,0.000567042,0.000567042
11,52.8572,1.42439,1.99036,1.16437,0.00963,0.82099,0.27689,0.17957,1.52329,3.19483,1.38548,0.00060952,0.00060952,0.00060952
12,57.3328,1.42196,1.86188,1.14491,0.00975,0.82099,0.23513,0.13575,1.56624,3.22909,1.44377,0.000649226,0.000649226,0.000649226
13,62.0327,1.39012,1.83292,1.12202,0.00918,0.74691,0.2614,0.15187,1.58081,3.28422,1.45483,0.00068616,0.00068616,0.00068616
14,66.3051,1.39133,1.83753,1.15017,0.78458,0.1531,0.2906,0.19034,1.54162,3.30593,1.397,0.000720322,0.000720322,0.000720322
15,70.5527,1.36126,1.7661,1.15604,0.86119,0.38299,0.63348,0.32402,1.4298,3.0783,1.34242,0.0007228,0.0007228,0.0007228
16,74.6504,1.37698,1.68948,1.14915,0.86567,0.3287,0.69106,0.37887,1.4758,3.07179,1.34775,0.000703,0.000703,0.000703
17,78.3059,1.36584,1.70919,1.19651,0.74865,0.17887,0.5158,0.31169,1.48805,3.06173,1.37208,0.0006832,0.0006832,0.0006832
18,81.8329,1.32671,1.67575,1.15606,0.70648,0.43227,0.43981,0.28396,1.44318,2.85245,1.36453,0.0006634,0.0006634,0.0006634
19,85.3805,1.32497,1.56609,1.07529,0.62936,0.45412,0.49799,0.30274,1.37392,2.58724,1.31269,0.0006436,0.0006436,0.0006436
20,89.1127,1.31018,1.5495,1.10562,0.70493,0.52293,0.53127,0.30764,1.37765,2.41887,1.2934,0.0006238,0.0006238,0.0006238
21,92.5074,1.29917,1.48701,1.09407,0.70191,0.54913,0.56897,0.34235,1.35084,2.38147,1.26865,0.000604,0.000604,0.000604
22,96.5278,1.28472,1.53414,1.10174,0.79842,0.54834,0.66824,0.38706,1.42428,2.41164,1.32748,0.0005842,0.0005842,0.0005842
23,100.197,1.32712,1.54206,1.12819,0.83954,0.38206,0.70991,0.38745,1.41352,2.3923,1.36634,0.0005644,0.0005644,0.0005644
24,103.733,1.32998,1.55179,1.12734,0.72442,0.48148,0.73004,0.43004,1.3678,2.1938,1.28679,0.0005446,0.0005446,0.0005446
25,107.241,1.26108,1.51471,1.06014,0.72951,0.52469,0.76797,0.48053,1.38272,2.00148,1.26635,0.0005248,0.0005248,0.0005248
26,110.708,1.24885,1.35873,1.06093,0.84514,0.49663,0.78276,0.46182,1.44092,1.8119,1.28047,0.000505,0.000505,0.000505
27,114.124,1.20255,1.47214,1.05806,0.79079,0.51235,0.7791,0.47222,1.27566,1.69736,1.21329,0.0004852,0.0004852,0.0004852
28,117.625,1.21077,1.30884,1.02403,0.84371,0.51263,0.80696,0.45497,1.27632,1.637,1.18802,0.0004654,0.0004654,0.0004654
29,121.083,1.22217,1.42326,1.12865,0.85975,0.50229,0.71891,0.42098,1.29221,1.56376,1.18452,0.0004456,0.0004456,0.0004456
30,124.438,1.1684,1.30641,1.04953,0.87755,0.47271,0.61432,0.3894,1.2891,1.49411,1.19659,0.0004258,0.0004258,0.0004258
31,127.819,1.17629,1.27662,1.04224,0.86955,0.50175,0.68759,0.39475,1.3064,1.52133,1.21406,0.000406,0.000406,0.000406
32,131.316,1.17289,1.26283,1.0511,0.84848,0.51925,0.7099,0.37891,1.31834,1.52119,1.21107,0.0003862,0.0003862,0.0003862
33,135.85,1.15116,1.25224,1.03772,0.83387,0.51768,0.69634,0.37395,1.317,1.49747,1.20673,0.0003664,0.0003664,0.0003664
34,140.162,1.15601,1.33053,1.04834,0.79783,0.48294,0.65486,0.36741,1.32568,1.51355,1.20589,0.0003466,0.0003466,0.0003466
35,143.999,1.15904,1.27024,1.04189,0.8349,0.45908,0.59199,0.35435,1.28352,1.50894,1.18489,0.0003268,0.0003268,0.0003268
36,147.789,1.15017,1.26517,1.04319,0.86135,0.45099,0.58368,0.37439,1.28651,1.4683,1.17603,0.000307,0.000307,0.000307
37,151.178,1.16064,1.23714,1.00356,0.8444,0.46289,0.58302,0.36747,1.29331,1.43403,1.17733,0.0002872,0.0002872,0.0002872
38,154.638,1.12336,1.21333,1.01156,0.8195,0.46837,0.62464,0.38796,1.25765,1.39807,1.16549,0.0002674,0.0002674,0.0002674
39,158.132,1.07103,1.29697,1.04387,0.779,0.54542,0.64379,0.37827,1.24458,1.37205,1.16748,0.0002476,0.0002476,0.0002476
40,161.73,1.10352,1.14813,1.0058,0.72395,0.56944,0.65384,0.3848,1.21206,1.38271,1.16904,0.0002278,0.0002278,0.0002278
41,165.812,1.16534,1.4655,1.07543,0.51968,0.62392,0.65181,0.38622,1.2223,1.40173,1.17936,0.000208,0.000208,0.000208
42,169.169,1.09819,1.3489,1.02072,0.57611,0.63735,0.68362,0.40334,1.21235,1.40407,1.18168,0.0001882,0.0001882,0.0001882
43,172.551,1.06055,1.27132,1.0323,0.60013,0.63735,0.69018,0.39598,1.21863,1.42941,1.19042,0.0001684,0.0001684,0.0001684
44,175.905,1.12602,1.36262,1.00029,0.8598,0.47208,0.65549,0.39924,1.21759,1.42603,1.18501,0.0001486,0.0001486,0.0001486
45,179.254,1.03925,1.24907,0.98985,0.86346,0.46432,0.64322,0.39372,1.21639,1.42539,1.17869,0.0001288,0.0001288,0.0001288
46,182.677,1.05129,1.26972,0.99886,0.83998,0.52151,0.66213,0.403,1.2029,1.44121,1.16895,0.000109,0.000109,0.000109
47,185.958,1.01995,1.21988,1.01448,0.83931,0.52514,0.74006,0.41939,1.19907,1.48255,1.1699,8.92e-05,8.92e-05,8.92e-05
48,189.362,1.05271,1.34663,1.0135,0.83859,0.52677,0.74199,0.4248,1.19276,1.49211,1.16949,6.94e-05,6.94e-05,6.94e-05
49,192.773,1.05081,1.2416,1.0078,0.83468,0.53532,0.73443,0.42269,1.19033,1.49223,1.16843,4.96e-05,4.96e-05,4.96e-05
