epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9481,2.0038,3.67663,1.4849,0.00935,0.88818,0.31603,0.22095,1.52747,3.71134,1.23291,0.000273259,0.000273259,0.000273259
2,63.3074,1.56841,2.01665,1.20216,0.64787,0.46652,0.62747,0.45706,1.49003,2.39065,1.22232,0.000540018,0.000540018,0.000540018
3,91.2257,1.49616,1.70555,1.15878,0.73901,0.54194,0.62254,0.39044,1.44928,1.67968,1.18925,0.00079578,0.00079578,0.00079578
4,118.458,1.43823,1.53296,1.12849,0.73292,0.67095,0.62985,0.38625,1.37813,1.35804,1.15008,0.00078352,0.00078352,0.00078352
5,147.027,1.38625,1.35511,1.10634,0.57326,0.82559,0.75446,0.45099,1.42253,1.32102,1.20048,0.000767026,0.000767026,0.000767026
6,176.392,1.34579,1.24635,1.07405,0.79065,0.70682,0.78514,0.52324,1.35997,1.1591,1.15454,0.000750533,0.000750533,0.000750533
7,203.297,1.33319,1.20343,1.08016,0.70938,0.86486,0.87049,0.59958,1.35375,1.10645,1.17621,0.00073404,0.00073404,0.00073404
8,230.336,1.33262,1.14425,1.0811,0.61144,0.83083,0.80956,0.54154,1.35775,1.09577,1.12124,0.000717546,0.000717546,0.000717546
9,257.432,1.27781,1.07581,1.05932,0.7482,0.82274,0.90959,0.53438,1.41191,1.0161,1.13491,0.000701053,0.000701053,0.000701053
10,286.795,1.26089,1.03452,1.05387,0.73915,0.82894,0.89053,0.57801,1.38399,1.11556,1.14307,0.000684559,0.000684559,0.000684559
11,313.742,1.23854,0.9901,1.04181,0.80521,0.81772,0.89907,0.63521,1.27802,0.95212,1.1067,0.000668066,0.000668066,0.000668066
12,341.646,1.2365,0.9619,1.032,0.83533,0.92363,0.92299,0.65116,1.29991,0.93243,1.12193,0.000651573,0.000651573,0.000651573
13,365.796,1.21726,0.91531,1.03003,0.70719,0.90648,0.89424,0.61425,1.35888,0.9284,1.11019,0.000635079,0.000635079,0.000635079
14,389.236,1.20771,0.93164,1.02979,0.71324,0.69038,0.89228,0.61607,1.30706,0.88637,1.10676,0.000618586,0.000618586,0.000618586
15,413.827,1.18941,0.87031,1.02301,0.63241,0.98583,0.93837,0.62455,1.32211,0.845,1.11645,0.000602092,0.000602092,0.000602092
16,438.101,1.18518,0.86766,1.02145,0.77826,0.76884,0.85015,0.56851,1.37129,0.8859,1.12144,0.000585599,0.000585599,0.000585599
17,461.157,1.15375,0.8021,1.01307,0.8173,0.87161,0.94525,0.67088,1.30587,0.81966,1.10298,0.000569106,0.000569106,0.000569106
18,484.384,1.17327,0.844,1.00273,0.78952,0.95157,0.94441,0.66013,1.29938,0.79967,1.10142,0.000552612,0.000552612,0.000552612
19,507.045,1.10089,0.79082,0.98417,0.84491,0.89062,0.94595,0.64037,1.33268,0.84986,1.11762,0.000536119,0.000536119,0.000536119
20,529.761,1.14347,0.79284,1.00837,0.80931,0.87335,0.93454,0.66193,1.29633,0.80393,1.088,0.000519625,0.000519625,0.000519625
21,552.581,1.12834,0.79393,1.00088,0.82094,0.91031,0.9325,0.66037,1.30549,0.81138,1.09244,0.000503132,0.000503132,0.000503132
22,575.181,1.13405,0.76677,0.99699,0.85886,0.93716,0.95993,0.70254,1.28517,0.75476,1.09345,0.000486639,0.000486639,0.000486639
23,598.163,1.13003,0.75356,0.98884,0.80925,0.92031,0.9483,0.69401,1.29277,0.7919,1.08024,0.000470145,0.000470145,0.000470145
24,620.94,1.12549,0.75005,0.99319,0.74979,0.77692,0.86804,0.6047,1.25281,0.76643,1.08698,0.000453652,0.000453652,0.000453652
25,643.601,1.09657,0.7246,0.97979,0.78847,0.91015,0.94394,0.66332,1.36333,0.83194,1.0919,0.000437158,0.000437158,0.000437158
26,669.417,1.09151,0.72056,0.99051,0.86203,0.74825,0.89022,0.64323,1.28424,0.80176,1.08491,0.000420665,0.000420665,0.000420665
27,692.658,1.08144,0.73009,0.988,0.77909,0.94447,0.92843,0.69657,1.28925,0.77422,1.07863,0.000404172,0.000404172,0.000404172
28,715.589,1.05992,0.71754,0.96401,0.80136,0.85943,0.90681,0.66576,1.25107,0.74879,1.07889,0.000387678,0.000387678,0.000387678
29,738.65,1.06335,0.71302,0.97137,0.74844,0.94496,0.93411,0.68856,1.25368,0.77438,1.08202,0.000371185,0.000371185,0.000371185
30,770.312,1.05703,0.67499,0.96571,0.77856,0.95406,0.94356,0.66095,1.32841,0.77105,1.0896,0.000354691,0.000354691,0.000354691
31,793.818,1.04277,0.67105,0.96961,0.836,0.94663,0.93906,0.6703,1.24351,0.71411,1.07163,0.000338198,0.000338198,0.000338198
32,818.024,1.07032,0.67467,0.96623,0.85557,0.91323,0.94527,0.70947,1.25759,0.71397,1.07859,0.000321705,0.000321705,0.000321705
33,841.054,1.03236,0.66744,0.9646,0.85815,0.89829,0.93051,0.66792,1.29934,0.77698,1.08528,0.000305211,0.000305211,0.000305211
34,864.578,1.00891,0.65851,0.95657,0.87029,0.83513,0.90034,0.6828,1.24731,0.72475,1.07049,0.000288718,0.000288718,0.000288718
35,887.616,1.0129,0.64009,0.96348,0.84346,0.93028,0.94202,0.7143,1.27063,0.75141,1.08043,0.000272224,0.000272224,0.000272224
36,910.823,1.01876,0.65241,0.96763,0.81665,0.89972,0.92479,0.69984,1.24453,0.72027,1.07025,0.000255731,0.000255731,0.000255731
37,935.146,0.99979,0.62873,0.95493,0.82947,0.83033,0.8944,0.66044,1.30444,0.74412,1.08596,0.000239238,0.000239238,0.000239238
38,958.939,1.00425,0.62918,0.94774,0.86861,0.92914,0.92082,0.6937,1.25292,0.72544,1.07682,0.000222744,0.000222744,0.000222744
39,984.205,0.98982,0.63037,0.94518,0.87426,0.81342,0.85773,0.62903,1.27536,0.74522,1.08759,0.000206251,0.000206251,0.000206251
40,1018.36,0.98118,0.61524,0.9536,0.77166,0.90675,0.92835,0.67992,1.26279,0.7109,1.07946,0.000189757,0.000189757,0.000189757
41,1050.01,1.00784,0.57735,0.96782,0.78421,0.93145,0.94236,0.6614,1.28682,0.70924,1.0929,0.000173264,0.000173264,0.000173264
42,1081.29,0.98016,0.55143,0.95869,0.7306,0.92714,0.90726,0.63047,1.27067,0.72138,1.0838,0.000156771,0.000156771,0.000156771
43,1110.37,0.97518,0.54444,0.96651,0.79791,0.90823,0.92479,0.67816,1.26254,0.69233,1.07838,0.000140277,0.000140277,0.000140277
44,1137.29,0.95827,0.53486,0.95496,0.80056,0.93524,0.92845,0.67287,1.29187,0.70708,1.07707,0.000123784,0.000123784,0.000123784
45,1167.1,0.95964,0.52745,0.95643,0.84494,0.90142,0.92536,0.68065,1.26689,0.69922,1.07542,0.00010729,0.00010729,0.00010729
46,1196.5,0.95461,0.52337,0.95498,0.82473,0.86302,0.90365,0.64189,1.27259,0.70836,1.08699,9.0797e-05,9.0797e-05,9.0797e-05
47,1226.06,0.94198,0.50749,0.95029,0.79818,0.8989,0.9193,0.66672,1.25564,0.71687,1.08112,7.43036e-05,7.43036e-05,7.43036e-05
48,1255.54,0.93446,0.51103,0.94955,0.87807,0.82702,0.88996,0.6428,1.25353,0.69611,1.08304,5.78102e-05,5.78102e-05,5.78102e-05
49,1282.95,0.92722,0.50574,0.94379,0.83093,0.8728,0.92548,0.66538,1.27844,0.71155,1.08429,4.13168e-05,4.13168e-05,4.13168e-05
50,1312.69,0.91383,0.49629,0.93536,0.83572,0.87468,0.92652,0.67252,1.2654,0.70877,1.08224,2.48234e-05,2.48234e-05,2.48234e-05
